Tract ID	% White	% At Least High School	% Employed	Median Income	Affordable Units	Radius	Borough
1021600	0.39520676691728884	0.4459586466165362	0.5534117647058774	0.3680456490727532	179	183	Manhattan
2007100	0.1663533834586465	0.3035714285714261	0.1072941176470586	0.2396576319543509	44	116	Bronx
2037504	0.3153195488721778	0.03477443609022558	0.05176470588235302	0.007608178792201617	171	180	Bronx
3035900	0.03007518796992481	0.21428571428571344	0.06635294117647066	0.1445553970518307	274	215	Brooklyn
3036300	0.0535714285714286	0.32189849624059863	0.5712941176470536	0.12791250594388967	400	250	Brooklyn
2007700	0.2499999999999986	0.18890977443608972	0.19435294117646956	0.0932001902044698	24	98	Bronx
2015700	0.15930451127819545	0.13486842105263191	0.022588235294117673	0.1821207798383262	823	336	Bronx
1002800	0.4920112781954823	0.29605263157894507	0.28423529411764525	0.1317165953399905	172	181	Manhattan
2021501	0.2095864661654128	0.204417293233082	0.2338823529411751	0.0898716119828816	206	193	Bronx
1002202	0.6578947368421107	0.811090225563916	0.7821176470588156	0.6942463147883975	9	80	Manhattan
1021900	0.17152255639097727	0.05686090225563922	0.48658823529411344	0.02710413694721826	58	126	Manhattan
2008900	0.23073308270676582	0.01456766917293233	0.7011764705882284	0.04136947218259629	114	156	Bronx
3020500	0.601503759398498	0.7979323308270733	0.8818823529411672	0.7912505943889682	41	114	Brooklyn
4019800	0.1306390977443612	0.1813909774436086	0.07999999999999996	0.2724679029957204	13	86	Queens
4021200	0.3327067669172902	0.06250000000000014	0.1458823529411759	0.24441274369947694	9	80	Queens
1023600	0.09915413533834616	0.5324248120300705	0.015058823529411777	0.21255349500713266	140	168	Manhattan
3032700	0.28430451127819334	0.5361842105263113	0.30870588235293905	0.38421302900618165	54	123	Brooklyn
3087401	0.07424812030075204	0.5286654135338297	0.23811764705882216	0.1336186400380409	16	90	Brooklyn
3082200	0.15413533834586474	0.4393796992481152	0.526588235294113	0.24869234427009035	19	93	Brooklyn
2026701	0.25375939849623913	0.3453947368421019	0.28423529411764525	0.21921065145030907	98	148	Bronx
2018500	0.10667293233082736	0.2218045112781945	0.04235294117647065	0.0936757013789824	781	329	Bronx
2022101	0.1710526315789472	0.03571428571428574	0.3072941176470567	0.08701854493580599	191	188	Bronx
3030700	0.05122180451127823	0.20535714285714213	0.21270588235294002	0.07513076557299096	117	158	Brooklyn
4087100	0.20864661654135266	0.2847744360902235	0.434823529411761	0.15168806466951973	143	169	Queens
2019300	0.22133458646616447	0.1499060150375941	0.05976470588235303	0.061816452686638136	176	182	Bronx
3036900	0.12030075187969959	0.12218045112782004	0.38964705882352624	0.14835948644793154	125	161	Brooklyn
3080000	0.3468045112781921	0.6940789473684222	0.2912941176470569	0.5154541131716596	29	103	Brooklyn
3031701	0.34492481203007186	0.8543233082706847	0.5072941176470545	0.42558250118877794	23	97	Brooklyn
1002201	0.4229323308270627	0.3402255639097712	0.22494117647058698	0.19591060389919163	1187	394	Manhattan
1009900	0.7011278195488811	0.929981203007531	0.7557647058823453	0.973846885401807	375	243	Manhattan
3035700	0.06578947368421062	0.35761278195488366	0.14305882352941124	0.0466000951022349	27	101	Brooklyn
3035100	0.2678571428571411	0.2847744360902235	0.22917647058823398	0.07322872087494056	102	150	Brooklyn
1002601	0.5155075187969872	0.25281954887217906	0.5359999999999953	0.3247741321921065	67	131	Manhattan
3030300	0.020206766917293232	0.08552631578947398	0.09647058823529399	0.033285782215882076	91	145	Brooklyn
2008300	0.15131578947368432	0.019736842105263157	0.17505882352941093	0.03518782691393248	195	189	Bronx
2007500	0.16776315789473673	0.16823308270676668	0.5251764705882307	0.08321445553970519	95	147	Bronx
2002701	0.2885338345864639	0.07236842105263179	0.14023529411764657	0.03756538278649548	122	160	Bronx
2008500	0.17246240601503743	0.03618421052631582	0.14399999999999946	0.09985734664764621	235	203	Bronx
2006500	0.2556390977443594	0.2467105263157882	0.3068235294117626	0.04850213980028531	303	224	Bronx
2040501	0.1865601503759395	0.20112781954887152	0.23058823529411632	0.1849738468854018	67	131	Bronx
2038500	0.13674812030075212	0.053101503759398594	0.08752941176470579	0.038040893961008085	16	90	Bronx
3044900	0.4149436090225516	0.14097744360902278	0.18305882352941086	0.1830718021873514	53	122	Brooklyn
3049100	0.40836466165413066	0.16071428571428562	0.5891764705882299	0.17165953399904899	6	74	Brooklyn
1019400	0.21992481203007427	0.03524436090225566	0.4338823529411728	0.10175939134569663	25	100	Manhattan
1018200	0.3012218045112758	0.17998120300751838	0.4418823529411727	0.06324298621017593	133	165	Manhattan
1018800	0.42387218045112285	0.05874060150375953	0.25364705882352795	0.12220637184973847	21	95	Manhattan
1019600	0.33834586466165095	0.08458646616541382	0.4705882352941136	0.02757964812173086	16	90	Manhattan
1018000	0.31015037593984707	0.3876879699248079	0.3472941176470562	0.15549215406562053	23	97	Manhattan
1017800	0.5018796992481138	0.3782894736842066	0.6042352941176414	0.1730860675225868	35	109	Manhattan
1016600	0.5493421052631554	0.3402255639097712	0.5388235294117599	0.19923918212077985	53	122	Manhattan
1012900	0.7039473684210619	0.915413533834598	0.6159999999999942	0.9453162149310509	243	205	Manhattan
1019300	0.5474624060150349	0.359962406015034	0.28329411764705703	0.16167379933428436	176	182	Manhattan
3005900	0.6968984962406101	0.7824248120300802	0.2776470588235277	0.5330480266286258	44	116	Brooklyn
1025700	0.446898496240596	0.7640977443609064	0.5294117647058777	0.7826913932477413	130	164	Manhattan
4028800	0.06484962406015046	0.5986842105263135	0.2950588235294098	0.5696623870660961	3	67	Queens
